,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
34,0 days 00:00:19,B: i am in a utility room,B,All
35,0 days 00:00:26,B:  there is a washing machine and an ironing board,B,All
36,0 days 00:00:27,A: okay describe it,A,All
37,0 days 00:00:32,B: wooden cabinet,B,All
46,0 days 00:00:53,A: a I looking through a door?,A,All
59,0 days 00:01:24,B: not exaclty,B,All
60,0 days 00:01:37,A: basket above the machine?,A,All
61,0 days 00:01:44,B: yes,B,All
62,0 days 00:01:49,A: got it,A,All
63,0 days 00:01:51,B: the ironing board is blue with dots,B,All
65,0 days 00:01:55,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
66,0 days 00:01:56,A: yep,A,All
68,0 days 00:02:00,GM: Well done! Both of you are                            indeed in the same room of type: u/utility_room!,GM,All
69,0 days 00:02:01,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
70,0 days 00:02:01,GM: ,GM,All
71,0 days 00:02:01,GM: Here's your token: 764XEP6AT,GM,All
72,0 days 00:02:17,A: ,A,All
74,0 days 00:02:54,B: ,B,All
76,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
77,0 days 01:41:58,GM: ,GM,All
