,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:00,GM: ,GM,All
32,0 days 00:00:27,B: i am in a nursery,B,All
33,0 days 00:00:35,B: wooden crib white mattress,B,All
34,0 days 00:00:41,B: bluish green dark walls,B,All
35,0 days 00:00:49,B: with a mirror with light reflecting from it,B,All
124,0 days 00:02:51,A: n,A,All
133,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
170,0 days 00:04:03,A: here,A,All
172,0 days 00:04:11,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
174,0 days 00:04:19,GM: Well done! Both of you are                            indeed in the same room of type: n/nursery!,GM,All
175,0 days 00:04:20,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
176,0 days 00:04:20,GM: ,GM,All
177,0 days 00:04:20,GM: Here's your token: 112346P5Y5,GM,All
178,0 days 00:04:47,B: ,B,All
180,0 days 00:05:02,A: ,A,All
182,0 days 00:42:51,GM: ,GM,All
