,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
92,0 days 00:02:22,B: Hello there! Looks like we should meet in the bedroom,B,All
93,0 days 00:02:53,A: i thought we were looking for an attic,A,All
94,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
95,0 days 00:03:40,A: well describe where you and i will try and find you,A,All
96,0 days 00:05:03,B: It's a room with a blue blanket on teh bed,B,All
97,0 days 00:05:14,A: ok let me try to find it,A,All
114,0 days 00:05:37,B: There is a picture on the wall adjacent to the window,B,All
131,0 days 00:06:07,B: The bed has a brass frame an sits diagonally,B,All
132,0 days 00:06:37,A: no desk or monitor right?,A,All
153,0 days 00:07:21,"A: ok i found it, this isnt an attic though",A,All
154,0 days 00:07:25,B: Not that I can see,B,All
155,0 days 00:08:10,A: stay here ill will find the attic and then tell you directions,A,All
156,0 days 00:08:15,B: OK,B,All
161,0 days 00:08:48,"A: go south once, this should an attic, a pink bed and window",A,All
166,0 days 00:09:26,A: there are wooden beams up top which i think is the attic,A,All
167,0 days 00:09:33,B: I'm here,B,All
168,0 days 00:09:45,A: ok we will try this good luck,A,All
170,0 days 00:09:48,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
172,0 days 00:09:52,GM: Well done! Both of you are                            indeed in the same room of type: a/attic!,GM,All
173,0 days 00:09:53,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
174,0 days 00:09:53,GM: ,GM,All
175,0 days 00:09:53,GM: Here's your token: 2447URD7X,GM,All
176,0 days 00:10:40,A: ,A,All
178,0 days 00:11:19,B: ,B,All
180,0 days 01:21:02,GM: ,GM,All
