,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
48,0 days 00:00:30,B: in nursery,B,All
49,0 days 00:00:33,A: I'm in a nursery too,A,All
50,0 days 00:00:37,A: Does yours have blue walls?,A,All
51,0 days 00:00:41,B: wooden crib,B,All
52,0 days 00:00:42,B: no,B,All
53,0 days 00:00:51,B: no sheets in the crib,B,All
54,0 days 00:00:52,"A: Okay, they must be different",A,All
55,0 days 00:00:58,B: mobile hanging,B,All
56,0 days 00:00:59,A: Do you want to find me or vice versa?,A,All
57,0 days 00:01:08,B: find me I'll describe,B,All
58,0 days 00:01:14,B: floor is beige,B,All
59,0 days 00:01:16,A: okay,A,All
64,0 days 00:01:33,B: there is a mirror on the wall in which a light is reflecting off,B,All
73,0 days 00:02:01,B: there is a white change table board the is on the crib,B,All
74,0 days 00:02:16,A: Does it have a lamp that's on?,A,All
75,0 days 00:02:40,B: you see part of a stuffed bear in flowers,B,All
76,0 days 00:02:51,B: in the mirror you can see it,B,All
77,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
78,0 days 00:03:03,"A: Okay, I think I haven't found it yet",A,All
87,0 days 00:03:23,A: This might be it,A,All
88,0 days 00:03:25,B: did the rest sound right,B,All
89,0 days 00:03:32,A: Does the change table have a blue rim?,A,All
90,0 days 00:03:40,B: yes,B,All
91,0 days 00:03:56,"A: Okay, I think this is it. No sheets on wooden crib, mobile, mirror etc",A,All
92,0 days 00:04:01,A: Good job :),A,All
94,0 days 00:04:05,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
96,0 days 00:04:07,GM: Well done! Both of you are                            indeed in the same room of type: n/nursery!,GM,All
97,0 days 00:04:07,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
98,0 days 00:04:07,GM: ,GM,All
99,0 days 00:04:08,GM: Here's your token: 824U8UW7K,GM,All
100,0 days 00:04:08,B: you too,B,All
101,0 days 00:04:28,A: ,A,All
103,0 days 00:09:06,B: ,B,All
105,0 days 00:48:54,GM: ,GM,All
