,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:02,GM: ,GM,All
40,0 days 00:00:29,B: I'm in a reading room I think,B,All
41,0 days 00:00:38,A: im in a reading room,A,All
42,0 days 00:00:41,B: It looks like a library at a school maybe?,B,All
43,0 days 00:00:48,B: What's yours look like?,B,All
44,0 days 00:00:49,A: same,A,All
45,0 days 00:00:57,B: Kids on the computer in the background?,B,All
46,0 days 00:01:00,A: lamp with two shades,A,All
47,0 days 00:01:10,A: no kids on computer,A,All
48,0 days 00:01:17,A: you want to find me,A,All
49,0 days 00:01:18,A: or me you,A,All
50,0 days 00:01:21,"B: Ah okay, it might be different then",B,All
51,0 days 00:01:28,"B: I don't mind, what do you prefer?",B,All
52,0 days 00:01:33,A: I ll keep describing,A,All
53,0 days 00:01:38,"B: Okay, I'll come find you",B,All
54,0 days 00:01:49,A: there are 6 chairs at the table,A,All
65,0 days 00:02:06,B: Okay,B,All
66,0 days 00:02:09,A: you can see that there is another table behind it,A,All
71,0 days 00:02:22,A: you see part of the chair,A,All
72,0 days 00:02:22,B: Does it have a clock on the wall?,B,All
73,0 days 00:02:29,A: no clock,A,All
74,0 days 00:02:37,A: there are 4 bookshelves,A,All
75,0 days 00:02:38,"B: Okay, I'll keep looking",B,All
84,0 days 00:02:54,A: the floor is beige,A,All
93,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
102,0 days 00:03:14,A: the wooden table is a brownish grey,A,All
111,0 days 00:03:41,B: I think I might be there,B,All
112,0 days 00:03:44,A: pic says 2002 2 8 in bottom corner of it,A,All
113,0 days 00:03:50,B: Do the bookshelves have heaps of folders on them?,B,All
114,0 days 00:03:56,A: yep,A,All
115,0 days 00:04:05,"B: Yes, that's the one, I see the numbers",B,All
116,0 days 00:04:09,"B: Yay, good job",B,All
118,0 days 00:04:12,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
120,0 days 00:04:14,GM: Well done! Both of you are                            indeed in the same room of type: r/reading_room!,GM,All
121,0 days 00:04:14,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
122,0 days 00:04:14,GM: ,GM,All
123,0 days 00:04:15,GM: Here's your token: 8164VBYPB,GM,All
124,0 days 00:04:35,A: ,A,All
125,0 days 00:04:36,B: ,B,All
128,0 days 00:54:52,GM: ,GM,All
