,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
20,0 days 00:00:21,A: I am in the bathroom,A,All
29,0 days 00:00:34,B: I found a home office,B,All
30,0 days 00:00:43,B: hard wood floors white printer on left,B,All
31,0 days 00:00:47,A: I'm in the garage,A,All
36,0 days 00:01:05,A: I'm in the home office with wooden floors,A,All
37,0 days 00:01:13,B: what else u see,B,All
38,0 days 00:01:28,A: White printer beside desk,A,All
39,0 days 00:01:39,B: ok me too think we found same place,B,All
41,0 days 00:01:43,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
42,0 days 00:01:46,A: Yes me too,A,All
44,0 days 00:01:58,GM: Well done! Both of you are                            indeed in the same room of type: h/home_office!,GM,All
45,0 days 00:01:58,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
46,0 days 00:01:58,GM: ,GM,All
47,0 days 00:01:58,GM: Here's your token: 1137XJGEWT,GM,All
48,0 days 00:02:22,B: ,B,All
50,0 days 00:02:39,A: ,A,All
52,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
53,0 days 00:24:45,GM: ,GM,All
