,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
56,0 days 00:00:45,B: im in a really brightly painted attic,B,All
57,0 days 00:00:47,B: pink green blue walls,B,All
58,0 days 00:00:48,A: hello still looking,A,All
81,0 days 00:01:07,A: keep describing,A,All
88,0 days 00:01:19,B: you'll know when you see it the colors are sooooo bright,B,All
99,0 days 00:01:33,B: neon colors,B,All
130,0 days 00:02:03,A: nothing in room,A,All
131,0 days 00:02:06,B: yep,B,All
133,0 days 00:02:08,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
135,0 days 00:02:17,GM: Well done! Both of you are                            indeed in the same room of type: a/attic!,GM,All
136,0 days 00:02:17,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
137,0 days 00:02:18,GM: ,GM,All
138,0 days 00:02:18,GM: Here's your token: 564ZU0CZ2,GM,All
139,0 days 00:02:19,B: skylight,B,All
140,0 days 00:02:25,B: ,B,All
142,0 days 00:02:43,A: ,A,All
144,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
145,0 days 01:29:51,GM: ,GM,All
