,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
20,0 days 00:00:08,B: hello,B,All
29,0 days 00:00:24,A: hello,A,All
38,0 days 00:00:42,B: i am in childs room,B,All
39,0 days 00:00:46,A: I'm in the child's room - go north from the master bedroom,A,All
40,0 days 00:00:50,A: great we did it,A,All
42,0 days 00:00:52,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
43,0 days 00:00:55,"B: yellomwalls, crazy bed cover",B,All
44,0 days 00:01:00,A: lol,A,All
46,0 days 00:01:02,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
48,0 days 00:01:09,"GM: You have managed to meet in a room of type:                                                        c/childs_room, but unfortunately                                                        not in the same one.",GM,All
49,0 days 00:01:10,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
50,0 days 00:01:10,GM: ,GM,All
51,0 days 00:01:10,GM: Here's your token: 314WAMWCU,GM,All
52,0 days 00:01:10,A: write the /done command,A,All
53,0 days 00:01:27,B: ,B,All
55,0 days 00:01:29,A: ,A,All
57,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
58,0 days 04:16:19,GM: ,GM,All
