,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
34,0 days 00:00:19,A: ok im there,A,All
39,0 days 00:00:28,A: old fashioned,A,All
44,0 days 00:00:31,A: maid ,A,All
55,0 days 00:00:47,A: painting on the wall,A,All
56,0 days 00:00:58,B: stocking hung,B,All
57,0 days 00:01:03,A: yes,A,All
58,0 days 00:01:04,B: lady in the room,B,All
59,0 days 00:01:09,"A: yes, looks good",A,All
61,0 days 00:01:11,B: fruit on table,B,All
62,0 days 00:01:12,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
64,0 days 00:01:17,GM: Well done! Both of you are                            indeed in the same room of type: d/dining_room!,GM,All
65,0 days 00:01:18,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
66,0 days 00:01:18,GM: ,GM,All
67,0 days 00:01:18,GM: Here's your token: 7833YJCQ0,GM,All
68,0 days 00:01:41,B: ,B,All
70,0 days 00:01:43,A: ,A,All
72,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
73,0 days 01:27:41,GM: ,GM,All
