,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:02,GM: ,GM,All
21,0 days 00:00:12,A: Hello,A,All
25,0 days 00:00:16,B: hi,B,All
26,0 days 00:00:18,A: Moving around right now,A,All
35,0 days 00:00:26,B: i am here,B,All
36,0 days 00:00:44,A: Im at a stair case...all beige basically,A,All
37,0 days 00:00:54,B: yeah me too,B,All
38,0 days 00:00:59,A: With a balcony amd set of double doora,A,All
39,0 days 00:01:01,A: Doors,A,All
40,0 days 00:01:03,A: Great,A,All
42,0 days 00:01:10,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
44,0 days 00:01:13,"GM: You have managed to meet in a room of type:                                                        s/staircase, but unfortunately                                                        not in the same one.",GM,All
45,0 days 00:01:13,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
46,0 days 00:01:14,GM: ,GM,All
47,0 days 00:01:14,GM: Here's your token: 26217ITS1,GM,All
48,0 days 00:01:31,B: ,B,All
50,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
51,0 days 00:06:18,A: ,A,All
53,0 days 00:54:05,GM: ,GM,All
