,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
46,0 days 00:00:36,B: I've found a locker room,B,All
51,0 days 00:00:50,B: lots of yellow,B,All
52,0 days 00:01:02,A: yes mine also,A,All
53,0 days 00:01:03,"B: signs with ""A"" on them over the lockers",B,All
54,0 days 00:01:17,"B: and on the left they have ""D"" over them",B,All
55,0 days 00:01:18,"A: ""D"" over the ones on the right",A,All
57,0 days 00:01:22,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
58,0 days 00:01:25,B: right,B,All
60,0 days 00:01:31,GM: Well done! Both of you are                            indeed in the same room of type: l/locker_room!,GM,All
61,0 days 00:01:32,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
62,0 days 00:01:32,GM: ,GM,All
63,0 days 00:01:32,GM: Here's your token: 9811WXKSP,GM,All
64,0 days 00:01:47,B: ,B,All
66,0 days 00:01:50,A: ,A,All
68,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
