,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
20,0 days 00:00:18,A: ok i am in the bathroom at min so i will move,A,All
21,0 days 00:00:19,B: Hi,B,All
28,0 days 00:00:28,"B: Yes, it says we need to find a kitchen",B,All
33,0 days 00:00:36,B: I see a kitchen with a silver fridge,B,All
38,0 days 00:01:02,A: ok found kitchen but no fridge.  Stay there and i will move,A,All
74,0 days 00:02:14,A: ok in kitchen silver fridge.  Brown cabinets.  Picture of woman with red hair on wall on lefthand side.,A,All
75,0 days 00:02:35,B: Yes,B,All
77,0 days 00:02:41,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
78,0 days 00:02:42,A: perfect.  I think we are finished,A,All
80,0 days 00:02:45,GM: Well done! Both of you are                            indeed in the same room of type: k/kitchen!,GM,All
81,0 days 00:02:45,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
82,0 days 00:02:45,GM: ,GM,All
83,0 days 00:02:45,GM: Here's your token: 286908EP3,GM,All
84,0 days 00:03:00,A: ,A,All
86,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
87,0 days 00:03:11,B: ,B,All
89,0 days 04:35:46,GM: ,GM,All
