,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
30,0 days 00:00:31,B: i am in a small dinning room,B,All
37,0 days 00:00:40,B: dark wood furniture,B,All
42,0 days 00:00:49,B: flowers on the middle of a round table,B,All
43,0 days 00:00:58,A: I'm in a different one,A,All
44,0 days 00:01:03,A: should I move or do you want to?,A,All
45,0 days 00:01:04,B: do you want me to move?,B,All
46,0 days 00:01:10,B: you move,B,All
47,0 days 00:01:13,A: ok,A,All
84,0 days 00:01:48,A: think I found it,A,All
85,0 days 00:01:53,A: round rug under the table?,A,All
86,0 days 00:01:56,B: yes,B,All
88,0 days 00:01:59,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
89,0 days 00:01:59,B: paining on the wall,B,All
91,0 days 00:02:03,GM: Well done! Both of you are                            indeed in the same room of type: d/dining_room!,GM,All
92,0 days 00:02:03,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
93,0 days 00:02:04,GM: ,GM,All
94,0 days 00:02:04,GM: Here's your token: 983MC0P02,GM,All
95,0 days 00:02:21,A: ,A,All
97,0 days 00:02:24,B: ,B,All
99,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
