,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:00,GM: ,GM,All
34,0 days 00:00:16,A: i am in a kitchen,A,All
35,0 days 00:00:19,A: its really small,A,All
36,0 days 00:00:21,B: me too,B,All
37,0 days 00:00:24,A: white oven black dishwasher,A,All
38,0 days 00:00:27,B: blue table cloth?,B,All
39,0 days 00:00:30,A: no,A,All
40,0 days 00:00:32,"B: no, ill move",B,All
41,0 days 00:00:34,A: ok,A,All
42,0 days 00:00:37,A: there is a red countertop,A,All
47,0 days 00:00:43,A: white cabinets,A,All
56,0 days 00:01:21,B: modern looking?,B,All
57,0 days 00:01:30,B: granite countertop to the right?,B,All
58,0 days 00:01:31,A: not overly,A,All
59,0 days 00:01:40,A: looks like laminate lol,A,All
60,0 days 00:01:47,A: there is a phone in the top left corner,A,All
61,0 days 00:01:48,B: wrong one then lol,B,All
62,0 days 00:01:51,A: the cord is dangling down,A,All
85,0 days 00:02:20,B: ok found it,B,All
87,0 days 00:02:24,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
89,0 days 00:02:26,GM: Well done! Both of you are                            indeed in the same room of type: k/kitchen!,GM,All
90,0 days 00:02:26,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
91,0 days 00:02:26,GM: ,GM,All
92,0 days 00:02:26,GM: Here's your token: 822QMCYEG,GM,All
93,0 days 00:02:46,B: ,B,All
95,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
96,0 days 00:49:54,GM: ,GM,All
