,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:03,GM: ,GM,All
26,0 days 00:00:16,A: in a playroom,A,All
31,0 days 00:00:22,A: red mat on floor,A,All
32,0 days 00:00:26,"B: Okay, can you describe it?",B,All
33,0 days 00:00:31,A: green ride on tracker,A,All
38,0 days 00:00:38,A: wall is blue,A,All
43,0 days 00:00:46,A: there is a mirror on the wall,A,All
44,0 days 00:00:47,B: Think I got it,B,All
45,0 days 00:00:59,A: are you there,A,All
46,0 days 00:01:02,"B: Yep, that sounds like the one",B,All
47,0 days 00:01:05,A: k,A,All
49,0 days 00:01:08,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
51,0 days 00:01:08,GM: Well done! Both of you are                            indeed in the same room of type: p/playroom!,GM,All
52,0 days 00:01:09,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
53,0 days 00:01:09,GM: ,GM,All
54,0 days 00:01:09,GM: Here's your token: 598KBY2OV,GM,All
55,0 days 00:01:24,B: ,B,All
57,0 days 00:01:27,A: ,A,All
59,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
60,0 days 01:04:14,GM: ,GM,All
