,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:02,GM: ,GM,All
28,0 days 00:00:17,"A: Hi, where are you?",A,All
33,0 days 00:00:24,B: found an industrial kitchen,B,All
34,0 days 00:00:28,A: I'm in a room with two white single beds,A,All
37,0 days 00:00:33,B: stainless steel with white boxes on ,B,All
38,0 days 00:00:38,A: Okay I'll go look for it,A,All
39,0 days 00:00:40,B: find a kitchen and i'll find you,B,All
44,0 days 00:00:48,"B: when you find one, describe it",B,All
45,0 days 00:00:51,A: Okay,A,All
75,0 days 00:01:17,"A: Okay got one. Marbled counter top, red bottle in the center, bread on the left",A,All
95,0 days 00:01:38,A: The cabinets are white,A,All
110,0 days 00:01:52,B: ok,B,All
111,0 days 00:01:52,B: im there,B,All
113,0 days 00:01:54,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
115,0 days 00:02:01,GM: Well done! Both of you are                            indeed in the same room of type: k/kitchen!,GM,All
116,0 days 00:02:02,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
117,0 days 00:02:02,GM: ,GM,All
118,0 days 00:02:02,GM: Here's your token: 5409UQTPC,GM,All
119,0 days 00:02:08,B: ,B,All
121,0 days 00:02:35,A: ,A,All
123,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
124,0 days 01:46:36,GM: ,GM,All
