,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
24,0 days 00:00:34,A: I'm at a doorway,A,All
29,0 days 00:00:50,A: 4 folding panel type doors ,A,All
34,0 days 00:01:05,B: i see them,B,All
35,0 days 00:01:06,A: with X shaped designs on the glass in the center,A,All
36,0 days 00:01:12,"B: yup, that's it",B,All
38,0 days 00:01:14,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
40,0 days 00:01:17,GM: Well done! Both of you are                            indeed in the same room of type: d/doorway/indoor!,GM,All
41,0 days 00:01:17,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
42,0 days 00:01:18,GM: ,GM,All
43,0 days 00:01:18,GM: Here's your token: 991JBFYBB,GM,All
44,0 days 00:01:34,A: ,A,All
45,0 days 00:01:34,B: ,B,All
48,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
