,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
42,0 days 00:00:54,A: I see a sink,A,All
43,0 days 00:01:08,B: Okay I think I remember that room,B,All
44,0 days 00:01:11,A: with a hair dryer hooked up,A,All
45,0 days 00:01:13,"B: Hang on, I'll try to find it",B,All
54,0 days 00:01:29,A: ok.  i started outside and just went east,A,All
55,0 days 00:01:41,"B: Yep, got it! are there three little pink bottles on right?",B,All
56,0 days 00:01:47,A: yes,A,All
57,0 days 00:01:55,B: Awesome :),B,All
58,0 days 00:01:59,A: nice!,A,All
60,0 days 00:02:02,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
62,0 days 00:02:05,GM: Well done! Both of you are                            indeed in the same room of type: b/bathroom!,GM,All
63,0 days 00:02:06,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
64,0 days 00:02:06,GM: ,GM,All
65,0 days 00:02:06,GM: Here's your token: 5949T0SUS,GM,All
66,0 days 00:02:25,B: ,B,All
68,0 days 00:02:35,A: ,A,All
70,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
71,0 days 01:06:57,GM: ,GM,All
