,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
50,0 days 00:00:47,A: All the way north west,A,All
55,0 days 00:00:55,A: Is where I found what looks like a utility room,A,All
64,0 days 00:01:11,"A: Has a washing machine in the center, wooden floors, a sink on the right",A,All
69,0 days 00:01:36,A: Whereabouts are you?,A,All
70,0 days 00:01:46,B: I'm in a room with two washing machines and a sink next to a child's room.,B,All
71,0 days 00:01:56,A: Ah okay do you want me to come find you?,A,All
72,0 days 00:02:16,B: Yeah. Do we type /done?,B,All
73,0 days 00:02:24,A: Not until we're in the same room,A,All
75,0 days 00:02:40,B: You're somewhere else?,B,All
85,0 days 00:02:52,"A: Yeah I'm in a different utility room, it sounds like",A,All
90,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
95,0 days 00:03:04,"A: Stay there, i'll come find you",A,All
116,0 days 00:03:23,B: found your room,B,All
117,0 days 00:03:26,B: can you go back there,B,All
118,0 days 00:03:33,"A: Oh cool, I'll come back",A,All
119,0 days 00:03:34,A: Hang on,A,All
136,0 days 00:03:56,"B: This looks more like a ""utility"" room",B,All
137,0 days 00:03:56,"A: Okay, I'm back :)",A,All
139,0 days 00:04:07,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
140,0 days 00:04:12,A: Awesome,A,All
142,0 days 00:04:14,GM: Well done! Both of you are                            indeed in the same room of type: u/utility_room!,GM,All
143,0 days 00:04:14,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
144,0 days 00:04:15,GM: ,GM,All
145,0 days 00:04:15,GM: Here's your token: 584Y31AK5,GM,All
146,0 days 00:04:57,A: ,A,All
148,0 days 00:13:09,B: ,B,All
150,0 days 01:17:20,GM: ,GM,All
