,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:03,GM: ,GM,All
20,0 days 00:00:08,B: Hi,B,All
21,0 days 00:00:14,A: Hey!,A,All
34,0 days 00:00:35,B: K i'm in a living room,B,All
45,0 days 00:00:53,"A: Okay, I found a kitchen. I'll stay here. ",A,All
50,0 days 00:01:03,B: ok what does it look like,B,All
51,0 days 00:01:21,A: White rice cooker or slow cooker on the left of the counter. Stainless steel container right next to it. ,A,All
52,0 days 00:01:36,A: Red cup on the right side of the stainless steel sink. ,A,All
53,0 days 00:01:44,B: Ok Im in the wrong one,B,All
58,0 days 00:02:03,"A: Okay, I'll stay here if you want to keep looking?",A,All
59,0 days 00:02:06,B: Red cup has utensils in it?,B,All
60,0 days 00:02:13,A: Yes!,A,All
61,0 days 00:02:18,B: Cool,B,All
63,0 days 00:02:19,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
65,0 days 00:02:21,GM: Well done! Both of you are                            indeed in the same room of type: k/kitchen!,GM,All
66,0 days 00:02:21,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
67,0 days 00:02:21,GM: ,GM,All
68,0 days 00:02:22,GM: Here's your token: 518Z63TWG,GM,All
69,0 days 00:02:27,B: nj,B,All
70,0 days 00:02:37,A: ,A,All
72,0 days 00:02:41,B: ,B,All
74,0 days 00:03:02,GM: Attention: you are in the game for 3 minutes!,GM,All
75,0 days 01:58:51,GM: ,GM,All
