,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
30,0 days 00:00:23,B: I'm in the bathroom,B,All
31,0 days 00:00:25,A: i am in a bathroom,A,All
32,0 days 00:00:26,B: blue walls,B,All
33,0 days 00:00:29,B: hardwood floor,B,All
34,0 days 00:00:34,A: mine has yellow,A,All
35,0 days 00:00:37,A: i'll keep looking,A,All
36,0 days 00:00:40,B: ok,B,All
49,0 days 00:01:04,A: i think i found it,A,All
50,0 days 00:01:11,B: tub with feet,B,All
51,0 days 00:01:15,B: with a window above,B,All
52,0 days 00:01:15,A: yes,A,All
53,0 days 00:01:19,B: yep,B,All
55,0 days 00:01:20,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
57,0 days 00:01:22,GM: Well done! Both of you are                            indeed in the same room of type: b/bathroom!,GM,All
58,0 days 00:01:22,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
59,0 days 00:01:22,GM: ,GM,All
60,0 days 00:01:22,GM: Here's your token: 974ACZVL7,GM,All
61,0 days 00:01:38,B: ,B,All
63,0 days 00:02:06,A: ,A,All
65,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
