,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
24,0 days 00:00:18,A: I am in the attick,A,All
25,0 days 00:00:20,A: it is west,A,All
30,0 days 00:00:42,B: im in the bedroom,B,All
31,0 days 00:00:51,A: go west,A,All
36,0 days 00:01:22,B: there is a couch and it appears to be on the second floor,B,All
47,0 days 00:01:53,A: go up,A,All
48,0 days 00:01:55,A: to the attick,A,All
49,0 days 00:01:56,A: n,A,All
58,0 days 00:02:14,B: north takes me to the pool,B,All
89,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
92,0 days 00:03:18,B: .s,B,All
133,0 days 00:04:25,B: here in the attic ,B,All
135,0 days 00:04:30,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
137,0 days 00:04:44,"GM: You have managed to meet in a room of type:                                                        a/attic, but unfortunately                                                        not in the same one.",GM,All
138,0 days 00:04:45,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
139,0 days 00:04:45,GM: ,GM,All
140,0 days 00:04:45,GM: Here's your token: 145WODS6U,GM,All
141,0 days 00:04:53,A: ,A,All
143,0 days 00:10:01,B: ,B,All
145,0 days 02:21:38,GM: ,GM,All
