,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:00,GM: ,GM,All
20,0 days 00:00:11,B: hello,B,All
29,0 days 00:00:26,A: im in the jacuzzi room,A,All
30,0 days 00:00:32,B: I got it too,B,All
31,0 days 00:00:37,A: ok done,A,All
33,0 days 00:00:38,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
35,0 days 00:00:41,GM: Well done! Both of you are                            indeed in the same room of type: j/jacuzzi/indoor!,GM,All
36,0 days 00:00:41,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
37,0 days 00:00:41,GM: ,GM,All
38,0 days 00:00:41,GM: Here's your token: 1186DTYH9E,GM,All
39,0 days 00:01:05,A: ,A,All
41,0 days 00:01:10,B: ,B,All
43,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
44,0 days 00:40:06,GM: ,GM,All
