,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:00,GM: ,GM,All
24,0 days 00:00:34,A: i am in a bedroom right now with two beds,A,All
25,0 days 00:00:39,B: Im in a home office,B,All
26,0 days 00:00:51,A: ok let me move around,A,All
27,0 days 00:00:52,B: It also has a drum set in it,B,All
28,0 days 00:01:03,B: 2 guitars on the wall,B,All
37,0 days 00:01:21,B: I moved north from a kitchen to get here,B,All
38,0 days 00:01:45,A: go west,A,All
39,0 days 00:02:00,"A: i am in a room with a computer, printer and tv",A,All
40,0 days 00:02:02,A: office,A,All
41,0 days 00:02:21,A: let me try that ,A,All
50,0 days 00:02:56,A: oki a there,A,All
51,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
52,0 days 00:03:02,A: with drum set,A,All
53,0 days 00:03:06,B: Ok,B,All
55,0 days 00:03:08,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
56,0 days 00:03:09,B: Great,B,All
58,0 days 00:03:13,GM: Well done! Both of you are                            indeed in the same room of type: h/home_office!,GM,All
59,0 days 00:03:14,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
60,0 days 00:03:14,GM: ,GM,All
61,0 days 00:03:14,GM: Here's your token: 116SYQSTR,GM,All
62,0 days 00:03:34,A: ,A,All
64,0 days 00:09:26,B: ,B,All
66,0 days 03:00:18,GM: ,GM,All
