,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
31,0 days 00:00:38,B: I think I'm in the bottle storage room,B,All
35,0 days 00:00:53,"B: It's light wood shelving, with hundreds of wine bottles",B,All
36,0 days 00:01:09,"A: same, brown modern wood?",A,All
37,0 days 00:01:27,A: yes we are at the same place,A,All
38,0 days 00:01:29,"B: It's really light wood, looks a bit dated to me. ",B,All
39,0 days 00:01:45,A: heh,A,All
40,0 days 00:01:45,"B: Is there a large bottle to the bottom left, for you?",B,All
41,0 days 00:02:00,A: yes red,A,All
42,0 days 00:02:04,B: Perfect,B,All
43,0 days 00:02:07,B: We're in the same place then,B,All
44,0 days 00:02:08,A: ;),A,All
46,0 days 00:02:09,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
48,0 days 00:02:17,GM: Well done! Both of you are                            indeed in the same room of type: w/wine_cellar/bottle_storage!,GM,All
49,0 days 00:02:17,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
50,0 days 00:02:17,GM: ,GM,All
51,0 days 00:02:17,GM: Here's your token: 1174UZNW40,GM,All
52,0 days 00:02:44,B: ,B,All
54,0 days 00:02:48,A: ,A,All
56,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
57,0 days 01:04:04,GM: ,GM,All
