,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
30,0 days 00:00:17,B: I've found one all ready. ,B,All
59,0 days 00:00:37,B: This has white washer and dryer. Rug on the hardwood floors. Sink. ,B,All
70,0 days 00:00:47,B: On the left side of the image I can see a bit of the door frame. ,B,All
71,0 days 00:01:02,"A: Im looking, for you stay there",A,All
72,0 days 00:01:13,B: Okay. ,B,All
73,0 days 00:01:40,"B: The walls are all white. Some sort of power outlet strip on the wall too, above the counter. ",B,All
74,0 days 00:01:51,A: Is there a black garbage can ,A,All
75,0 days 00:01:56,B: Nope. ,B,All
76,0 days 00:02:06,A: ok wrong spot more searching ,A,All
81,0 days 00:02:11,B: Okay. ,B,All
128,0 days 00:03:02,GM: Attention: you are in the game for 3 minutes!,GM,All
129,0 days 00:03:05,A: is there a basket on counter?,A,All
130,0 days 00:03:09,B: Nope. ,B,All
253,0 days 00:04:22,A: I am here,A,All
254,0 days 00:04:25,B: Yay!,B,All
256,0 days 00:04:29,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
257,0 days 00:04:30,A: washer dryer under counter,A,All
258,0 days 00:04:33,A: sink ,A,All
259,0 days 00:04:34,B: Yes. ,B,All
261,0 days 00:04:38,GM: Well done! Both of you are                            indeed in the same room of type: u/utility_room!,GM,All
262,0 days 00:04:38,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
263,0 days 00:04:38,GM: ,GM,All
264,0 days 00:04:38,GM: Here's your token: 848LM8LG4,GM,All
265,0 days 00:04:49,A: ,A,All
267,0 days 00:04:55,B: ,B,All
