,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
20,0 days 00:00:11,B: hello there :),B,All
26,0 days 00:00:27,"A: Hi, it says we need to find a jacuzzi that is indoors",A,All
33,0 days 00:00:36,B: I am in what looks like a jacuzzi room now .. ,B,All
42,0 days 00:01:00,B: at least I think it is :) It has light coloured tiles and says 3 1/2 on the floor (for some reason!),B,All
43,0 days 00:01:02,A: I found one. It's an indoor room with windows and steps,A,All
44,0 days 00:01:09,A: yeah same,A,All
46,0 days 00:01:11,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
47,0 days 00:01:13,B: cool ,B,All
49,0 days 00:01:15,GM: Well done! Both of you are                            indeed in the same room of type: j/jacuzzi/indoor!,GM,All
50,0 days 00:01:15,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
51,0 days 00:01:15,GM: ,GM,All
52,0 days 00:01:15,GM: Here's your token: 1291J0Y4N,GM,All
53,0 days 00:01:30,A: ,A,All
55,0 days 00:01:36,B: ,B,All
57,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
58,0 days 02:43:17,GM: ,GM,All
