,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
48,0 days 00:00:48,A: im assuming utility room is laundry room?,A,All
64,0 days 00:01:01,B: im not sure i found 3,B,All
65,0 days 00:01:04,B: are you in one,B,All
66,0 days 00:01:04,A: same,A,All
67,0 days 00:01:06,A: yes,A,All
68,0 days 00:01:11,B: describe it,B,All
69,0 days 00:01:18,A: winodw in left with sink under it,A,All
70,0 days 00:01:25,"A: two washers on right, stacked",A,All
71,0 days 00:01:29,A: top one on shelf,A,All
76,0 days 00:01:36,A: laundry basket on floor,A,All
85,0 days 00:01:54,B: found it,B,All
86,0 days 00:01:56,A: e,A,All
91,0 days 00:01:58,A: k,A,All
93,0 days 00:02:01,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
94,0 days 00:02:03,B: window frame brown,B,All
95,0 days 00:02:05,A: yep,A,All
97,0 days 00:02:09,GM: Well done! Both of you are                            indeed in the same room of type: u/utility_room!,GM,All
98,0 days 00:02:09,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
99,0 days 00:02:09,GM: ,GM,All
100,0 days 00:02:10,GM: Here's your token: 492S3UGUX,GM,All
101,0 days 00:02:16,A: ,A,All
103,0 days 00:02:33,B: ,B,All
105,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
106,0 days 02:16:37,GM: ,GM,All
