,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
28,0 days 00:00:20,A: I am in a home office,A,All
37,0 days 00:00:31,A: Big black cabinet on left,A,All
38,0 days 00:00:39,A: two desks,A,All
39,0 days 00:00:46,A: 4 monitors,A,All
44,0 days 00:00:56,A: 2 left monitors are on - 2 on right desk are off,A,All
57,0 days 00:01:12,A: wooden kitchen chair in front or right desk,A,All
62,0 days 00:01:23,A: regular office chair in front of desk on left,A,All
67,0 days 00:01:32,B: looking for you,B,All
68,0 days 00:01:32,A: did you find me?,A,All
85,0 days 00:01:53,A: wastbasket on floor on lower right,A,All
102,0 days 00:02:18,A: lots of messy cords under desk on right,A,All
103,0 days 00:02:24,B: here,B,All
105,0 days 00:02:30,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
107,0 days 00:02:33,GM: Well done! Both of you are                            indeed in the same room of type: h/home_office!,GM,All
108,0 days 00:02:34,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
109,0 days 00:02:34,GM: ,GM,All
110,0 days 00:02:35,GM: Here's your token: 56706EXGN,GM,All
111,0 days 00:02:53,B: ,B,All
113,0 days 00:02:57,A: ,A,All
115,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
116,0 days 01:27:40,GM: ,GM,All
