,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
32,0 days 00:00:30,B: hi,B,All
37,0 days 00:00:41,A: hi bear with me first time,A,All
42,0 days 00:00:55,"B: i went south from the street, then west",B,All
43,0 days 00:01:04,B: now im in an attic,B,All
44,0 days 00:01:13,"A: yes, I am there I think are there two men standing in there?",A,All
45,0 days 00:01:27,"B: no, mine has a roof window, a computer and a chair",B,All
46,0 days 00:01:35,A: oh boy hang on,A,All
51,0 days 00:01:47,B: want me to wait and you move around?,B,All
52,0 days 00:01:47,A: got it,A,All
54,0 days 00:01:58,B: there?,B,All
55,0 days 00:01:59,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
57,0 days 00:02:03,GM: Well done! Both of you are                            indeed in the same room of type: a/attic!,GM,All
58,0 days 00:02:03,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
59,0 days 00:02:03,GM: ,GM,All
60,0 days 00:02:03,GM: Here's your token: 671HP7NCC,GM,All
61,0 days 00:02:23,B: ,B,All
63,0 days 00:02:25,A: ,A,All
65,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
66,0 days 03:26:44,GM: ,GM,All
