,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
20,0 days 00:00:09,B: Hello,B,All
21,0 days 00:00:16,A: hi,A,All
22,0 days 00:00:18,B: I'm in a dungeon looking place,B,All
37,0 days 00:00:38,A: I am in an office,A,All
38,0 days 00:00:42,B: I found a playroom,B,All
39,0 days 00:00:52,B: Theres a child here,B,All
40,0 days 00:01:06,"B: green floors, toy house or barn, it's red",B,All
41,0 days 00:01:09,B: Tan wall,B,All
54,0 days 00:01:54,A: found it,A,All
57,0 days 00:02:01,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
59,0 days 00:02:08,"GM: You have managed to meet in a room of type:                                                        p/playroom, but unfortunately                                                        not in the same one.",GM,All
60,0 days 00:02:08,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
61,0 days 00:02:09,GM: ,GM,All
62,0 days 00:02:09,GM: Here's your token: 448XHLZT4,GM,All
63,0 days 00:02:17,B: nooo,B,All
64,0 days 00:02:21,B: ,B,All
66,0 days 00:03:00,A: ,A,All
68,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
69,0 days 02:38:48,GM: ,GM,All
