,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
26,0 days 00:00:15,B: hi,B,All
31,0 days 00:00:26,B: got it :),B,All
32,0 days 00:00:30,"A: He, i'm in a hall",A,All
33,0 days 00:00:31,B: row of black chairs along the back ,B,All
50,0 days 00:01:33,B: where are you now? :) ,B,All
51,0 days 00:01:35,A: I am in a rom with some rolled towels,A,All
52,0 days 00:01:41,A: two tan and a white on e on top,A,All
53,0 days 00:01:49,B: does it have a jacuzzi? ,B,All
54,0 days 00:01:53,A: is this the jacuzzi room you are in?,A,All
55,0 days 00:01:58,A: there might be more than one,A,All
56,0 days 00:02:03,B: no there are no towels here,B,All
57,0 days 00:02:06,B: shall I come and find you? ,B,All
58,0 days 00:02:15,A: some orange or red candles,A,All
59,0 days 00:02:19,"A: sure, come find me",A,All
60,0 days 00:02:23,B: naw not the one I am in .. .stay put :) ,B,All
73,0 days 00:02:36,B: ah right got it I think ,B,All
75,0 days 00:02:41,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
77,0 days 00:02:49,GM: Well done! Both of you are                            indeed in the same room of type: j/jacuzzi/indoor!,GM,All
78,0 days 00:02:49,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
79,0 days 00:02:49,GM: ,GM,All
80,0 days 00:02:50,GM: Here's your token: 1681H3R6F,GM,All
81,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
82,0 days 00:03:07,B: ,B,All
84,0 days 00:20:22,A: ,A,All
86,0 days 02:03:12,GM: ,GM,All
