,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
22,0 days 00:00:26,B: i am currently outside,B,All
23,0 days 00:00:31,A: i am in a living room,A,All
28,0 days 00:00:44,A: i went south and i am in a bathroom now,A,All
29,0 days 00:00:59,A: it's got two sinks and a tub on the right side and some kind of skylight or something ,A,All
56,0 days 00:02:50,B: i went west agin now i am in another bathroo,B,All
61,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
66,0 days 00:03:20,A: what kind of bathroom are you in?,A,All
67,0 days 00:03:29,B: one sink and a tub,B,All
68,0 days 00:03:36,B: i am going to try going north,B,All
73,0 days 00:03:48,A: okay or i can try to find yours,A,All
74,0 days 00:03:49,B: another bathroom,B,All
75,0 days 00:03:55,A: what kind of bathroom,A,All
80,0 days 00:04:05,B: 2 sinks and a tub,B,All
85,0 days 00:04:14,A: oh that sounds like mine,A,All
86,0 days 00:04:42,B: i am going to try west,B,All
87,0 days 00:04:48,A: why if we are in the same room?,A,All
112,0 days 00:06:01,B: ok i am back there,B,All
115,0 days 00:06:05,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
117,0 days 00:06:07,GM: Well done! Both of you are                            indeed in the same room of type: b/bathroom!,GM,All
118,0 days 00:06:07,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
119,0 days 00:06:08,GM: ,GM,All
120,0 days 00:06:08,GM: Here's your token: 101J20637,GM,All
121,0 days 00:06:37,A: ,A,All
123,0 days 00:06:48,B: ,B,All
125,0 days 03:17:53,GM: ,GM,All
