,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
30,0 days 00:00:20,A: I'm in a basement,A,All
43,0 days 00:00:26,A: It's finished with brown couches,A,All
48,0 days 00:00:40,A: and what looks like a bar in the back left,A,All
49,0 days 00:00:46,B: ok i am outside. Stay there and i will move.,B,All
50,0 days 00:00:47,A: a coffee table and a TV,A,All
53,0 days 00:00:57,A: The TV is partially hidden by a column,A,All
58,0 days 00:01:11,B: yes! found it!,B,All
60,0 days 00:01:14,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
62,0 days 00:01:15,GM: Well done! Both of you are                            indeed in the same room of type: b/basement!,GM,All
63,0 days 00:01:15,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
64,0 days 00:01:15,GM: ,GM,All
65,0 days 00:01:16,GM: Here's your token: 945LXSFWT,GM,All
66,0 days 00:01:45,B: ,B,All
68,0 days 00:02:00,A: ,A,All
70,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
