,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
28,0 days 00:00:37,A: found a jacuzzi.  2 beach chairs in the background near a plant.,A,All
29,0 days 00:00:39,B: jacuzzi with a window to the left,B,All
30,0 days 00:00:46,B: ah nevermind,B,All
31,0 days 00:00:49,A: no window at mine,A,All
40,0 days 00:00:56,A: should I move or do you want to?,A,All
45,0 days 00:01:02,B: I'll find u,B,All
50,0 days 00:01:17,A: double doors in the top left of the picture,A,All
51,0 days 00:01:25,A: brown tile floor,A,All
52,0 days 00:01:28,"B: pool, 2 chairs, a door on the left",B,All
53,0 days 00:01:34,"B: yes, that's it",B,All
54,0 days 00:01:34,A: yes!,A,All
56,0 days 00:01:37,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
58,0 days 00:01:38,GM: Well done! Both of you are                            indeed in the same room of type: j/jacuzzi/indoor!,GM,All
59,0 days 00:01:38,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
60,0 days 00:01:39,GM: ,GM,All
61,0 days 00:01:39,GM: Here's your token: 967TBXG06,GM,All
62,0 days 00:01:48,B: ,B,All
64,0 days 00:01:54,A: ,A,All
66,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
