,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:01,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
28,0 days 00:00:15,A: hello,A,All
37,0 days 00:00:17,B: hi,B,All
78,0 days 00:00:45,"B: ok, found a doorway",B,All
83,0 days 00:00:48,B: door is open,B,All
84,0 days 00:00:50,"A: I found a doorway, it's east of a home theater room",A,All
85,0 days 00:00:52,B: can see a car outside,B,All
86,0 days 00:01:00,B: ok,B,All
87,0 days 00:01:01,B: let me look for it,B,All
114,0 days 00:01:30,B: whats the doorway look like,B,All
135,0 days 00:01:42,"A: Open doorway, sunny outside, can see the front of a car",A,All
140,0 days 00:01:45,B: ok,B,All
141,0 days 00:01:48,B: im there,B,All
143,0 days 00:01:50,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
145,0 days 00:01:50,GM: Well done! Both of you are                            indeed in the same room of type: d/doorway/indoor!,GM,All
146,0 days 00:01:51,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
147,0 days 00:01:51,GM: ,GM,All
148,0 days 00:01:51,GM: Here's your token: 4500JP77L,GM,All
149,0 days 00:01:55,A: gj,A,All
150,0 days 00:01:58,B: ,B,All
152,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
153,0 days 00:06:10,A: ,A,All
155,0 days 02:38:01,GM: ,GM,All
