,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
50,0 days 00:00:38,A: i/m in the basement,A,All
55,0 days 00:00:45,B: Ok what does it look like?,B,All
56,0 days 00:00:54,B: White walls with wooden stuff along one wall?,B,All
57,0 days 00:00:59,A: stairs on the left side unfinished,A,All
58,0 days 00:01:04,B: Ok let me find it,B,All
63,0 days 00:01:18,B: Is there a pinkish couch?,B,All
64,0 days 00:01:22,A: no,A,All
97,0 days 00:01:49,B: Ok I'm there,B,All
98,0 days 00:01:55,B: a mat or something below the stairs?,B,All
118,0 days 00:02:27,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
120,0 days 00:02:34,"GM: Unfortunately, you and your                                                   partner were somewhere else, but not                                                   in a room of the required type b/basement",GM,All
121,0 days 00:02:35,"GM: Please enter the token below into                                                   the token field on the HIT webpage, and close this                                                    browser window.",GM,All
122,0 days 00:02:35,GM: ,GM,All
123,0 days 00:02:35,GM: Here's your token: 1158UENENJ,GM,All
124,0 days 00:02:51,B: ,B,All
126,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
127,0 days 00:03:20,A: ,A,All
129,0 days 00:11:49,GM: ,GM,All
