,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
28,0 days 00:00:57,A: I am at the jacuzzi,A,All
29,0 days 00:01:03,A: where are you?,A,All
36,0 days 00:01:34,B: im in the pool room,B,All
59,0 days 00:02:31,B: im at the jacuzzi where are you?,B,All
74,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM,All
75,0 days 00:03:16,A: the jacuzzi is west of the pool room,A,All
81,0 days 00:03:39,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
83,0 days 00:03:54,"GM: You have managed to meet in a room of type:                                                        j/jacuzzi/indoor, but unfortunately                                                        not in the same one.",GM,All
84,0 days 00:03:54,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
85,0 days 00:03:54,GM: ,GM,All
86,0 days 00:03:55,GM: Here's your token: 921ZHRAY1,GM,All
87,0 days 00:04:31,A: ,A,All
89,0 days 00:06:45,B: ,B,All
