,time,public,user,receiver
0,0 days 00:00:00,A: ,A,All
1,0 days 00:00:00,B: ,B,All
2,0 days 00:00:01,GM: ,GM,All
30,0 days 00:00:18,A: i am in a living room,A,All
31,0 days 00:00:25,A: red and blue couch,A,All
32,0 days 00:00:33,B: okay describe it and I'll find you,B,All
33,0 days 00:00:33,"A: yellow wall, has a flag on it",A,All
42,0 days 00:00:54,A: coffee table looks like an old straw crate,A,All
43,0 days 00:01:03,B: bear holding a fish?,B,All
44,0 days 00:01:07,A: yes,A,All
46,0 days 00:01:09,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All
47,0 days 00:01:16,B: you gotta lead with that next time lol,B,All
48,0 days 00:01:21,A: haha,A,All
50,0 days 00:01:29,GM: Well done! Both of you are                            indeed in the same room of type: l/living_room!,GM,All
51,0 days 00:01:29,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
52,0 days 00:01:29,GM: ,GM,All
53,0 days 00:01:29,GM: Here's your token: 767GAUCKT,GM,All
54,0 days 00:01:54,A: ,A,All
56,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All
57,0 days 00:03:04,B: ,B,All
59,0 days 01:36:22,GM: ,GM,All
