,time,public,user,receiver,DU ID,Grounding Act,Opened CGUs,Closed CGUs,Degree
0,0 days 00:00:00,A:,A,All,,None
1,0 days 00:00:01,B:,B,All,,None
2,0 days 00:00:01,GM:,GM,All,,None
27,0 days 00:00:15,B: i'm in the playroom,B,All,[1],['Initiate'],[1],[],[]
31,0 days 00:00:17,B: you have to go west,B,All,[2],['Initiate'],[2],[],[]
32,0 days 00:00:19,A: What does it look like,A,All,"[1, 3]","['Use', 'Initiate']",[3],[1],['medium']
45,0 days 00:00:38,A: describe it please,A,All,"[2, 4]","['Move', 'Initiate']",[4],[2],['low']
46,0 days 00:00:55,"A: I'm in one as well, I see  a small chalkboard in the corner and a small tent to the right",A,All,[5],['Initiate'],[5],[],[]
47,0 days 00:01:39,A: Please describe what you see in your playroom,A,All,[4],['Repeat'],[],[],[]
48,0 days 00:01:42,A:,A,All,,None
50,0 days 00:01:44,A:,A,All,,None
53,0 days 00:02:07,A: Hello????????,A,All,,None
54,0 days 00:02:46,B: has a little boy,B,All,"[3, 4, 5, 6]","['Move', 'Use', 'Move', 'Initiate']",[6],"[3, 4, 5]","['low', 'medium', 'low']"
55,0 days 00:02:47,B: with a table,B,All,[6],['continue'],[],[],[]
56,0 days 00:02:51,B: and blyue chair,B,All,[6],['Continue'],[],[],[]
57,0 days 00:02:54,A: Okay I will keep looking,A,All,"[6, 7]","['Explicit Ack', 'Initiate']",[7],[],[]
66,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM,All,[8],['Initiate'],[8],[],[]
71,0 days 00:03:06,B: go west,B,All,"[7, 9]","['Use', 'Initiate']",[9],[7],['medium']
73,0 days 00:03:10,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'",GM,All,[10],['Initiate'],[10],[],[]
74,0 days 00:03:13,A: It's different for both of us..,A,All,"[7, 11]","['Use', 'Initiate']",[11],[7],['medium']
92,0 days 00:03:32,GM: Well done! Both of you are                            indeed in the same room of type: p/playroom!,GM,All,[12],['Initiate'],[12],[],[]
93,0 days 00:03:33,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All,[13],['Initiate'],[13],[],[]
94,0 days 00:03:33,GM:,GM,All,,None
95,0 days 00:03:33,GM: Here's your token: 136MRZIMH,GM,All,[14],['Initiate'],[14],[],[]
96,0 days 00:03:52,B:,B,All,,None
98,0 days 00:03:56,A:,A,All,,None
100,0 days 02:32:09,GM:,GM,All,,None
